County,Length of Life z-score,Length of Life rank,Quality of Life z-score,Quality of Life rank,Health Behaviors z-score,Health Behaviors rank,Clinical Care z-score,Clinical Care Rank,Socioeconomic Factors z-score,Socioeconomic Factors rank,Phys. Env. z-score,Phys. Env. rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic County,0.65,19,0.45,19,0.18,17,0.07,16,0.33,18,0.01,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergen County,-0.73,1,-0.31,5,-0.33,2,-0.15,4,-0.32,4,0.01,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington County,0.03,12,0.03,12,-0.07,7,-0.13,6,-0.21,7,0.05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden County,0.54,17,0.42,18,0.22,19,0.01,13,0.24,16,0.01,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape May County,0.61,18,0.00,11,0.19,18,-0.06,7,0.37,19,-0.08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County,1.00,21,0.81,21,0.48,21,0.25,20,0.66,21,0.03,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essex County,0.21,15,0.39,16,0.08,15,0.12,17,0.40,20,0.02,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucester County,0.26,16,0.08,14,0.15,16,0.05,14,-0.14,10,0.05,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County,-0.39,6,0.32,15,0.05,13,0.32,21,0.22,14,-0.07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunterdon County,-0.56,3,-0.76,1,-0.28,4,-0.19,3,-0.46,1,0.02,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercer County,-0.10,10,0.00,10,-0.04,10,-0.03,9,-0.02,11,-0.04,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlesex County,-0.42,5,-0.19,7,-0.23,5,-0.03,8,-0.15,9,0.01,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monmouth County,-0.25,8,-0.14,8,-0.06,8,-0.13,5,-0.22,6,0.01,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morris County,-0.67,2,-0.65,2,-0.31,3,-0.22,1,-0.44,2,0.01,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean County,0.09,14,-0.28,6,0.01,12,-0.01,12,0.01,12,-0.03,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaic County,-0.19,9,0.46,20,0.06,14,0.14,18,0.32,17,0.04,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem County,0.79,20,0.41,17,0.39,20,0.17,19,0.24,15,0.04,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerset County,-0.55,4,-0.42,4,-0.37,1,-0.19,2,-0.39,3,-0.05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sussex County,-0.04,11,-0.59,3,-0.05,9,-0.03,10,-0.28,5,0.01,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union County,-0.36,7,0.04,13,-0.09,6,0.06,15,0.03,13,-0.02,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warren County,0.08,13,-0.06,9,0.01,11,-0.02,11,-0.20,8,-0.03,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
